preceding context,実際に、主任児童委員になって気づくことがたくさんあります。サポーター会議の在り方、民生子ども課の役割、保健所との連携、もちろん主任児童委員の役割も含めて、とにかく、話すこと。少しでも気にある家庭があったら、関係者が集まって話し合うこと。そして図式化すること。そこから、各関係者の仲間意識とどうしたら解決に結びつかが見えてくるかもしれません。児童養護施設のイメージもかえないと。本当の一時保護ができるように。
speech,児童養護施設のイメージをどのように変えたらよいと思いますか。そしてそのためにはどうすればよいのでしょうか。
,
preceding context,障害者支援といっても様々な障害があります。それぞれの障害に関して詳しくまとめようとすると大変な作業時間が必要になると思われますので、どの障害にも当てはまるように、障害者とその家族を地域へ移行していくために地域での障害についての認知活動と障害者とどのように共生するのかを考える枠組みを考えることで、更に議論を進めたらどうでしょうか？
speech,Samanthaさん、ありがとうございました。それではご提案いただいたように、障害者とその家族を地域へ移行していくために地域での障害についての認知活動にはどのようなことが考えられるか、また、障害者との共生についてという観点から、意見を思いついた方は述べてください。
,
preceding context,自助は、自分たちで身を守るわけですから、良く言われている家でできること（あえて省略します）をやる。共助こそが、地域ぐるみでの助けなんですよ。で・・・結局は、私が投げかけた町内ぐるみの自主防災組織がこれがきちんと機能すれば、かなりの取り組みになるというわけです。
speech,そうなんですね？自主防災組織の機能ってどんなことが求められるのでしょうか？
,
preceding context,都市人類学という学問の中では、すでに存在している都市について研究することであって、都市の未来像を研究するものではありません。しかし、敢えて都市の未来像と都市の魅力を提示するならば、物質的な魅力を追い求めると物質的な魅力が衰退すればその都市は衰退の一途を辿ってしまいます。都市の衰退を避けるには、物質的な豊かさもさること、心の豊かさが都市に求められる魅力なんだと思いますがいかがでしょうか？都市が持つべき心の豊かさを個々に検討する機会が今後も与えられるようであれば尚都市にとって有用であると考えます。
speech,samanthaさん、有り難うございます、「都市は生き物」と話されていましたね。生き物である都市に求められる魅力”心の豊かさ”とはどのようなものでしょうか。また、その”心の豊かさ”は他に話題にあがっていた「魅力」と関係があるのでしょうか？
,
preceding context,返信が遅れまして申し訳ございません。多様性とは人がそれぞれ持つ個性や特徴を尊重し合って助け合うことをさします。今の名古屋は「出る杭を打つ」というか、異質な人を排除する傾向があると思うのです。
,その人の持つ個性を活かし、活かされるという思考に関しては十分に賛成できます。競争優位性という事は、競争原理に基づいた思考でよろしいのでしょうか？
,K.Samantha.Aさん。多様性と競争は相反しているものではないと考えます。多様性を認め合い個性を尊重し、それらをフル活用することによって、結果都市間競争などで優位性が高まると考えています。
