preceding context,都市人類学という学問の中では、すでに存在している都市について研究することであって、都市の未来像を研究するものではありません。しかし、敢えて都市の未来像と都市の魅力を提示するならば、物質的な魅力を追い求めると物質的な魅力が衰退すればその都市は衰退の一途を辿ってしまいます。都市の衰退を避けるには、物質的な豊かさもさること、心の豊かさが都市に求められる魅力なんだと思いますがいかがでしょうか？都市が持つべき心の豊かさを個々に検討する機会が今後も与えられるようであれば尚都市にとって有用であると考えます。
speech,samanthaさん、有り難うございます、「都市は生き物」と話されていましたね。生き物である都市に求められる魅力”心の豊かさ”とはどのようなものでしょうか。また、その”心の豊かさ”は他に話題にあがっていた「魅力」と関係があるのでしょうか？
,
preceding context,名古屋駅地区の開発にコンセプトを設け、都心の新たなビジネス環境を創出し、大名古屋圏の産業、経済を引っ張る活力を生み出してほしいと考えています。
speech,なるほど、経済を引っ張る活力にはどのようなものがあるのでしょうか。
,
preceding context,名古屋だけではなく京都など以外の日本全国に言えるかもしれませんが、再開発など行う際にしっかりとした景観ガイドラインを作るべきだと思います。名駅周辺もそうですが栄など低層の建物が並ぶところも統一した雰囲気のある景観を目指すべきだと思います。
speech,景観ガイドラインは大切ですね。京都は、一時期高層建築が認められましたが、今は元に戻りました。派手な看板も厳しく規制されているので、落ち着きます。名古屋らしい景観ガイドラインはどのようなものが考えられますでしょうかねえ。
,
preceding context,共助における参加しやすい仕組みづくりとか、今まさにここで議論されているような話だと思います。アイデア募集とかコンテストとかで気運づくりや情報発信するのも面白いですね。ただ、行政だけではなかなか進まない気もするので、上手くボランティアやNPOなどと協力して広げていくことも大事かと。
speech,限りある人的資源（ボランティア・NPO）を有機的に協力できるといいですね。どのようにボランティアやNPOと協力できるかもう少し掘り下げたアイデアありませんか？
,
preceding context,続きです。）そういう場って魅力的だし、場が生きています。景気の良し悪しも“気持ち”の問題と言われているし、芸術の香りが漂う街って、国内ではなかなかないですよね。“ネオ・芸どころ名古屋”として復活したら、それこそ河村市長が言う“どえりゃ?おもしろい街！名古屋”に近づくのではないでしょうか？！？！(笑)
,「ネオ・芸どころ名古屋」という言葉はいいですね。かつて、日本有数の芸どころだったわけですから、新しいアートの発信地をめざしたい。あいちトリエンナーレには賛否両論ありますが、可能性ある取り組みだと思います。新しい発想のできる人たちを集めることがまず大事ですね。
speech,「芸どころ」という言葉がよく出てきますね、私は「芸どころ名古屋」を知らないのですが、どのような「芸」があるのですか？
,
